selling_price,year,km_driven,transmission_type,mileage,engine,max_power,seats,seller_type_Dealer,seller_type_Individual,seller_type_Trustmark Dealer,fuel_type_CNG,fuel_type_Diesel,fuel_type_Electric,fuel_type_LPG,fuel_type_Petrol
4.55,2015.0,46000,1,16.47,1198.0,74.0,5.0,1,0,0,0,0,0,0,1
7.1,2019.0,9000,1,20.7,1197.0,81.86,5.0,0,1,0,0,0,0,0,1
4.5,2016.0,70000,1,18.49,1493.0,100.0,7.0,0,1,0,0,1,0,0,0
4.65,2015.0,33000,1,17.71,1197.0,78.9,5.0,1,0,0,0,0,0,0,1
7.7,2016.0,53000,1,16.8,1497.0,116.3,5.0,1,0,0,0,0,0,0,1
3.2,2015.0,50000,1,19.09,1405.0,69.01,5.0,0,1,0,0,1,0,0,0
3.25,2015.0,50000,1,19.09,1405.0,69.01,5.0,0,1,0,0,1,0,0,0
29.0,2018.0,11387,0,10.91,3198.0,197.0,7.0,0,1,0,0,1,0,0,0
7.2,2018.0,50000,1,25.8,1498.0,98.6,5.0,0,1,0,0,1,0,0,0
3.75,2016.0,52000,1,25.32,1198.0,77.0,5.0,1,0,0,0,1,0,0,0
1.45,2010.0,60000,1,14.49,1399.0,92.7,5.0,0,1,0,0,0,0,0,1
4.0,2015.0,35000,1,19.44,1198.0,67.0,7.0,0,1,0,0,0,0,0,1
6.0,2015.0,48000,1,19.87,1461.0,83.8,5.0,0,1,0,0,1,0,0,0
6.0,2018.0,18000,1,18.7,1199.0,88.7,5.0,0,1,0,0,0,0,0,1
2.7,2012.0,57413,1,14.4,998.0,61.7,5.0,0,1,0,0,0,0,1,0
5.0,2015.0,30000,1,18.6,1197.0,81.83,5.0,0,1,0,0,0,0,0,1
6.5,2015.0,55000,1,23.9,1582.0,126.2,5.0,1,0,0,0,1,0,0,0
3.8,2015.0,120000,1,18.2,1199.0,82.4,5.0,0,1,0,0,0,0,0,1
7.28,2012.0,165000,1,13.5,2477.0,175.56,7.0,0,1,0,0,1,0,0,0
6.6,2018.0,10000,0,21.21,1197.0,81.8,5.0,0,1,0,0,0,0,0,1
1.8,2010.0,120000,1,18.0,1248.0,75.0,5.0,0,1,0,0,1,0,0,0
20.9,2016.0,68000,0,22.69,1995.0,190.0,5.0,1,0,0,0,1,0,0,0
2.5,2015.0,55000,1,25.44,936.0,56.3,5.0,1,0,0,0,1,0,0,0
12.75,2020.0,8000,1,16.8,1497.0,113.4,5.0,1,0,0,0,0,0,0,1
4.55,2012.0,80000,1,14.53,1798.0,138.1,5.0,1,0,0,0,0,0,0,1
4.95,2015.0,65000,1,28.4,1248.0,74.0,5.0,1,0,0,0,1,0,0,0
2.2,2010.0,47000,1,21.1,1197.0,85.8,5.0,0,1,0,0,0,0,0,1
8.0,2018.0,185000,1,25.1,1248.0,88.5,5.0,0,1,0,0,1,0,0,0
12.95,2014.0,68000,0,13.01,2199.0,194.3,7.0,1,0,0,0,1,0,0,0
4.75,2016.0,25000,1,18.9,1197.0,82.0,5.0,0,1,0,0,0,0,0,1
3.8,2014.0,280000,1,15.3,2956.0,83.83,7.0,0,1,0,0,1,0,0,0
9.0,2018.0,7791,1,25.1,1248.0,88.5,5.0,0,1,0,0,1,0,0,0
5.3,2015.0,70000,1,20.73,1373.0,91.1,5.0,0,1,0,0,0,0,0,1
5.3,2016.0,9500,1,23.84,1199.0,84.0,5.0,0,1,0,0,0,0,0,1
6.5,2015.0,9100,1,17.01,1591.0,121.3,5.0,0,1,0,0,0,0,0,1
4.95,2010.0,82000,1,12.8,2354.0,177.6,5.0,1,0,0,0,0,0,0,1
3.35,2010.0,86000,1,17.0,1497.0,118.0,5.0,1,0,0,0,0,0,0,1
46.75,2020.0,19000,0,17.01,1968.0,188.0,5.0,1,0,0,0,1,0,0,0
12.9,2013.0,78000,0,16.55,1968.0,147.51,5.0,1,0,0,0,1,0,0,0
3.0,2011.0,60000,1,20.0,1399.0,68.0,5.0,0,1,0,0,1,0,0,0
5.5,2019.0,7883,0,21.5,1197.0,81.8,5.0,0,0,1,0,0,0,0,1
3.9,2013.0,50205,1,23.4,1248.0,74.0,5.0,0,0,1,0,1,0,0,0
2.6,2008.0,220000,1,13.6,2523.0,63.0,7.0,0,1,0,0,1,0,0,0
3.95,2017.0,58000,1,24.7,1047.0,69.0,5.0,1,0,0,0,1,0,0,0
5.5,2012.0,170000,1,12.05,2179.0,120.0,8.0,0,1,0,0,1,0,0,0
6.5,2018.0,15000,1,22.0,1197.0,81.8,5.0,0,1,0,0,0,0,0,1
3.75,2016.0,71245,1,28.4,1248.0,74.0,5.0,1,0,0,0,1,0,0,0
3.0,2012.0,20000,1,21.12,1248.0,88.8,5.0,0,1,0,0,1,0,0,0
4.5,2016.0,52000,1,16.78,1496.0,88.73,5.0,1,0,0,0,0,0,0,1
3.35,2015.0,61000,1,19.4,1198.0,86.8,5.0,0,1,0,0,0,0,0,1
13.0,2019.0,7000,1,16.1,1353.0,138.0,5.0,0,1,0,0,0,0,0,1
3.6,2018.0,20000,1,23.95,998.0,67.05,5.0,0,1,0,0,0,0,0,1
5.05,2020.0,8700,1,21.63,998.0,67.04,5.0,0,1,0,0,0,0,0,1
3.1,2019.0,25000,1,24.7,796.0,47.3,5.0,0,1,0,0,0,0,0,1
5.45,2015.0,42000,1,18.6,1197.0,81.86,5.0,1,0,0,0,0,0,0,1
3.0,2009.0,120000,1,14.0,2498.0,112.0,7.0,0,1,0,0,1,0,0,0
2.0,2009.0,60000,1,14.4,1399.0,94.0,5.0,0,1,0,0,0,0,0,1
1.5,2006.0,120000,1,13.6,2523.0,63.0,7.0,0,1,0,0,1,0,0,0
5.8,2018.0,50000,1,21.4,1197.0,83.1,5.0,0,1,0,0,0,0,0,1
2.5,2011.0,58000,1,18.9,998.0,67.1,5.0,0,1,0,0,0,0,0,1
6.5,2017.0,36000,1,17.43,1396.0,105.5,5.0,0,1,0,0,0,0,0,1
8.0,2016.0,80000,1,23.65,1248.0,88.5,5.0,0,1,0,0,1,0,0,0
14.75,2013.0,71000,0,15.73,1968.0,174.33,5.0,1,0,0,0,1,0,0,0
4.1,2018.0,30000,1,25.47,1248.0,88.5,7.0,0,1,0,0,1,0,0,0
5.31,2015.0,162828,1,22.77,1498.0,98.59,5.0,1,0,0,0,1,0,0,0
8.9,2018.0,7500,1,23.0,1498.0,98.96,5.0,0,1,0,0,1,0,0,0
7.75,2016.0,47227,1,14.0,2179.0,138.1,7.0,1,0,0,0,1,0,0,0
4.35,2018.0,52000,1,33.54,998.0,67.04,5.0,1,0,0,1,0,0,0,0
1.85,2012.0,74000,1,20.0,1399.0,68.05,5.0,1,0,0,0,1,0,0,0
4.4,2011.0,47000,1,15.96,2523.0,62.1,7.0,1,0,0,0,1,0,0,0
4.5,2015.0,50000,1,18.6,1197.0,81.83,5.0,0,1,0,0,0,0,0,1
6.0,2017.0,100000,1,21.4,1197.0,83.1,5.0,0,1,0,0,0,0,0,1
3.2,2014.0,35000,1,23.1,998.0,67.04,5.0,0,1,0,0,0,0,0,1
7.0,2016.0,50000,1,21.19,1396.0,88.73,5.0,0,1,0,0,1,0,0,0
6.3,2018.0,10000,1,18.16,1196.0,86.8,5.0,0,1,0,0,0,0,0,1
3.2,2016.0,10370,1,22.74,796.0,47.3,5.0,0,1,0,0,0,0,0,1
4.65,2013.0,62000,1,16.8,1497.0,116.3,5.0,1,0,0,0,0,0,0,1
2.75,2011.0,70000,1,21.12,1248.0,88.8,5.0,0,1,0,0,1,0,0,0
3.7,2013.0,250000,1,21.64,1461.0,84.8,5.0,0,1,0,0,1,0,0,0
5.5,2016.0,40000,1,18.6,1197.0,81.83,5.0,0,1,0,0,0,0,0,1
4.45,2017.0,60000,1,22.0,1197.0,81.8,5.0,0,1,0,0,0,0,0,1
7.05,2013.0,67231,1,14.0,2179.0,138.1,7.0,1,0,0,0,1,0,0,0
2.7,2013.0,64000,1,33.54,998.0,67.04,5.0,1,0,0,1,0,0,0,0
4.2,2012.0,142587,1,23.08,1461.0,63.1,5.0,1,0,0,0,1,0,0,0
4.75,2014.0,63000,1,26.0,1498.0,98.6,5.0,1,0,0,0,1,0,0,0
17.55,2015.0,80000,1,12.55,2982.0,168.5,7.0,0,1,0,0,1,0,0,0
3.5,2011.0,55000,1,16.9,1497.0,100.0,5.0,1,0,0,0,0,0,0,1
